Iter 0 | Total: nan | LL: nan | CE: 9.3287
Iter 1 | Total: nan | LL: nan | CE: nan
Iter 2 | Total: nan | LL: nan | CE: nan
Iter 3 | Total: nan | LL: nan | CE: nan
Iter 4 | Total: nan | LL: nan | CE: nan
Iter 5 | Total: nan | LL: nan | CE: nan
Iter 6 | Total: nan | LL: nan | CE: nan
Iter 7 | Total: nan | LL: nan | CE: nan
Iter 8 | Total: nan | LL: nan | CE: nan
Iter 9 | Total: nan | LL: nan | CE: nan
Iter 10 | Total: nan | LL: nan | CE: nan
Iter 11 | Total: nan | LL: nan | CE: nan
Iter 12 | Total: nan | LL: nan | CE: nan
Iter 13 | Total: nan | LL: nan | CE: nan
Iter 14 | Total: nan | LL: nan | CE: nan
Iter 15 | Total: nan | LL: nan | CE: nan
Iter 16 | Total: nan | LL: nan | CE: nan
Iter 17 | Total: nan | LL: nan | CE: nan
Iter 18 | Total: nan | LL: nan | CE: nan
Iter 19 | Total: nan | LL: nan | CE: nan
Iter 20 | Total: nan | LL: nan | CE: nan
Iter 21 | Total: nan | LL: nan | CE: nan
Iter 22 | Total: nan | LL: nan | CE: nan
Iter 23 | Total: nan | LL: nan | CE: nan
Iter 24 | Total: nan | LL: nan | CE: nan
Iter 25 | Total: nan | LL: nan | CE: nan
Iter 26 | Total: nan | LL: nan | CE: nan
Iter 27 | Total: nan | LL: nan | CE: nan
Iter 28 | Total: nan | LL: nan | CE: nan
Iter 29 | Total: nan | LL: nan | CE: nan
Iter 0 | Total: nan | LL: nan | CE: 9.3157
Iter 1 | Total: nan | LL: nan | CE: nan
Iter 2 | Total: nan | LL: nan | CE: nan
Iter 3 | Total: nan | LL: nan | CE: nan
Iter 4 | Total: nan | LL: nan | CE: nan
Iter 5 | Total: nan | LL: nan | CE: nan
Iter 6 | Total: nan | LL: nan | CE: nan
Iter 7 | Total: nan | LL: nan | CE: nan
Iter 8 | Total: nan | LL: nan | CE: nan
Iter 9 | Total: nan | LL: nan | CE: nan
Iter 10 | Total: nan | LL: nan | CE: nan
Iter 11 | Total: nan | LL: nan | CE: nan
Iter 12 | Total: nan | LL: nan | CE: nan
Iter 13 | Total: nan | LL: nan | CE: nan
Iter 14 | Total: nan | LL: nan | CE: nan
Iter 15 | Total: nan | LL: nan | CE: nan
Iter 16 | Total: nan | LL: nan | CE: nan
Iter 17 | Total: nan | LL: nan | CE: nan
Iter 18 | Total: nan | LL: nan | CE: nan
Iter 19 | Total: nan | LL: nan | CE: nan
Iter 20 | Total: nan | LL: nan | CE: nan
Iter 21 | Total: nan | LL: nan | CE: nan
Iter 22 | Total: nan | LL: nan | CE: nan
Iter 23 | Total: nan | LL: nan | CE: nan
Iter 24 | Total: nan | LL: nan | CE: nan
Iter 25 | Total: nan | LL: nan | CE: nan
Iter 26 | Total: nan | LL: nan | CE: nan
Iter 27 | Total: nan | LL: nan | CE: nan
Iter 28 | Total: nan | LL: nan | CE: nan
Iter 29 | Total: nan | LL: nan | CE: nan
Iter 0 | Total: nan | LL: nan | CE: 9.4288
Iter 1 | Total: nan | LL: nan | CE: nan
Iter 2 | Total: nan | LL: nan | CE: nan
Iter 3 | Total: nan | LL: nan | CE: nan
Iter 4 | Total: nan | LL: nan | CE: nan
Iter 5 | Total: nan | LL: nan | CE: nan
Iter 6 | Total: nan | LL: nan | CE: nan
Iter 7 | Total: nan | LL: nan | CE: nan
Iter 8 | Total: nan | LL: nan | CE: nan
Iter 9 | Total: nan | LL: nan | CE: nan
Iter 10 | Total: nan | LL: nan | CE: nan
Iter 11 | Total: nan | LL: nan | CE: nan
Iter 12 | Total: nan | LL: nan | CE: nan
Iter 13 | Total: nan | LL: nan | CE: nan
Iter 14 | Total: nan | LL: nan | CE: nan
Iter 15 | Total: nan | LL: nan | CE: nan
Iter 16 | Total: nan | LL: nan | CE: nan
Iter 17 | Total: nan | LL: nan | CE: nan
Iter 18 | Total: nan | LL: nan | CE: nan
Iter 19 | Total: nan | LL: nan | CE: nan
Iter 20 | Total: nan | LL: nan | CE: nan
Iter 21 | Total: nan | LL: nan | CE: nan
Iter 22 | Total: nan | LL: nan | CE: nan
Iter 23 | Total: nan | LL: nan | CE: nan
Iter 24 | Total: nan | LL: nan | CE: nan
Iter 25 | Total: nan | LL: nan | CE: nan
Iter 26 | Total: nan | LL: nan | CE: nan
Iter 27 | Total: nan | LL: nan | CE: nan
Iter 28 | Total: nan | LL: nan | CE: nan
Iter 29 | Total: nan | LL: nan | CE: nan
  0%|          | 0/4 [00:00<?, ?it/s]100%|██████████| 4/4 [00:00<00:00, 65.33it/s]
  0%|          | 0/17312 [00:00<?, ?it/s] 40%|███▉      | 6856/17312 [00:00<00:00, 68542.74it/s] 84%|████████▎ | 14483/17312 [00:00<00:00, 73084.58it/s]100%|██████████| 17312/17312 [00:00<00:00, 73563.11it/s]
/hpc/group/yizhanglab/vk93/micromamba-envs/envs/codex-sthd/lib/python3.10/site-packages/anndata/_core/aligned_df.py:68: ImplicitModificationWarning: Transforming to str index.
  warnings.warn("Transforming to str index.", ImplicitModificationWarning)
Building cKDTree for instant spatial querying...
Calculating rigid partitions...
Extracting 8 patches with halo...
